Date,Open,High,Low,Close,Adj Close,Volume
08/18/2011,116.5,119.709999,113.389999,114.510002,114.510002,512956300
08/19/2011,112.959999,115.879997,112.5,112.639999,112.639999,428281300
08/22/2011,115.169998,115.230003,112.410004,112.730003,112.730003,275090600
08/23/2011,113.150002,116.57,112.580002,116.440002,116.440002,331136600
08/24/2011,116.190002,118.239998,115.919998,118.080002,118.080002,246869700
08/25/2011,118.730003,119.400002,115.870003,116.279999,116.279999,312365400
08/26/2011,115.690002,118.510002,113.849998,117.970001,117.970001,314495900
08/29/2011,119.559998,121.43,118.059998,121.360001,121.360001,190977200
08/30/2011,120.830002,122.43,119.260002,121.68,121.68,241315700
08/31/2011,122.459999,123.510002,121.300003,122.220001,122.220001,301828400
09/01/2011,122.290001,123.400002,120.779999,120.940002,120.940002,254585900
09/02/2011,118.419998,120.870003,117.43,117.849998,117.849998,255517200
09/06/2011,114.389999,117.160004,114.379997,116.989998,116.989998,285130500
09/07/2011,118.760002,120.339996,118.360001,120.290001,120.290001,209803200
09/08/2011,119.57,120.940002,118.769997,119.040001,119.040001,250568200
09/09/2011,117.68,119.059998,115.279999,115.919998,115.919998,380195100
09/12/2011,114.470001,116.760002,114.050003,116.669998,116.669998,305793500
09/13/2011,117.050003,118.18,116.220001,117.739998,117.739998,272514700
09/14/2011,118.339996,120.800003,116.720001,119.370003,119.370003,319389500
09/15/2011,120.650002,121.470001,119.400002,121.43,121.43,326777200
09/16/2011,121.290001,121.970001,120.32,121.519997,121.519997,284528300
09/19/2011,119.529999,120.93,118.720001,120.309998,120.309998,241517000
09/20/2011,120.82,121.989998,120.010002,120.169998,120.169998,218932200
09/21/2011,120.230003,120.599998,116.440002,116.629997,116.629997,316251300
09/22/2011,113.25,114.209999,111.300003,112.860001,112.860001,513911300
09/23/2011,112.110001,114.160004,112.019997,113.540001,113.540001,307242500
09/26/2011,114.610001,116.400002,112.980003,116.239998,116.239998,260673700
09/27/2011,118.529999,119.559998,116.839996,117.540001,117.540001,311753900
09/28/2011,117.779999,118.489998,114.970001,115.139999,115.139999,286696800
09/29/2011,117.050003,117.629997,113.93,116.050003,116.050003,298108900
09/30/2011,114.449997,115.449997,113.07,113.150002,113.150002,288392300
10/03/2011,112.489998,113.949997,109.809998,109.93,109.93,365136800
10/04/2011,108.349998,112.580002,107.43,112.339996,112.339996,459177500
10/05/2011,112.620003,114.720001,111.580002,114.419998,114.419998,284108000
10/06/2011,114.360001,116.660004,113.510002,116.489998,116.489998,257800800
10/07/2011,117.169998,117.25,115.059998,115.709999,115.709999,312657900
10/10/2011,117.68,119.629997,117.669998,119.580002,119.580002,230666300
10/11/2011,118.870003,120.040001,118.75,119.699997,119.699997,209088000
10/12/2011,120.599998,122.139999,120.330002,120.75,120.75,281544900
10/13/2011,120.040001,120.870003,119.120003,120.510002,120.510002,212538800
10/14/2011,121.910004,122.599998,121.230003,122.57,122.57,211397600
10/17/2011,121.989998,122.550003,119.93,120.230003,120.230003,202311600
10/18/2011,120.139999,123.5,119.199997,122.580002,122.580002,318857900
10/19/2011,122.379997,123.080002,120.709999,121.129997,121.129997,226601300
10/20/2011,121.43,122.099998,119.82,121.660004,121.660004,262075600
10/21/2011,123.089996,124.120003,122.720001,123.970001,123.970001,278999400
10/24/2011,124.169998,125.800003,124.059998,125.489998,125.489998,203215600
10/25/2011,124.889999,124.949997,122.779999,123.050003,123.050003,268596800
10/26/2011,124.349998,124.769997,122.209999,124.300003,124.300003,289053800
10/27/2011,127.629997,129.419998,126.610001,128.630005,128.630005,393220200
10/28/2011,128,128.850006,127.800003,128.600006,128.600006,225906500
10/31/2011,127.160004,128.619995,125.32,125.5,125.5,228146700
11/01/2011,122.029999,123.510002,121.519997,122,122,416565800
11/02/2011,123.830002,124.400002,122.790001,123.989998,123.989998,244717600
11/03/2011,125.269997,126.5,123.599998,126.25,126.25,291174800
11/04/2011,125.230003,125.699997,124.010002,125.480003,125.480003,249401600
11/07/2011,125.389999,126.389999,124.199997,126.260002,126.260002,196617200
11/08/2011,126.919998,128.020004,125.709999,127.879997,127.879997,224426300
11/09/2011,124.889999,125.800003,122.860001,123.160004,123.160004,337982000
11/10/2011,124.790001,124.940002,123.019997,124.32,124.32,231866500
11/11/2011,125.830002,126.989998,125.790001,126.660004,126.660004,189924400
11/14/2011,126.190002,127.449997,124.919998,125.459999,125.459999,159258300
11/15/2011,125.169998,126.75,124.720001,126.080002,126.080002,184709400
11/16/2011,124.809998,126.339996,123.900002,124.080002,124.080002,235782500
11/17/2011,123.849998,124.160004,121.230003,122.110001,122.110001,331219600
11/18/2011,122.5,122.75,121.470001,121.980003,121.980003,215580400
11/21/2011,120.199997,120.349998,118.650002,119.660004,119.660004,229611600
11/22/2011,119.400002,120.099998,118.519997,119.190002,119.190002,216494900
11/23/2011,118.07,119.190002,116.559998,116.559998,116.559998,224329100
11/25/2011,116.379997,117.699997,116.199997,116.339996,116.339996,99557000
11/28/2011,119.540001,120.18,118.82,119.709999,119.709999,210686000
11/29/2011,120.050003,121,119.610001,120.050003,120.050003,199241500
11/30/2011,123.489998,125.220001,120,124.989998,124.989998,324439500
12/01/2011,124.849998,125.639999,124.43,124.970001,124.970001,176954800
12/02/2011,126.120003,126.5,124.779999,124.860001,124.860001,221109700
12/05/2011,126.839996,127.18,125.440002,126.220001,126.220001,225263900
12/06/2011,126.209999,127.110001,125.760002,126.260002,126.260002,178842100
12/07/2011,125.839996,127.260002,124.970001,126.730003,126.730003,237802500
12/08/2011,125.900002,126.18,123.650002,123.949997,123.949997,240862800
12/09/2011,124.510002,126.370003,124.400002,126.050003,126.050003,209111400
12/12/2011,124.949997,124.970001,123.160004,124.209999,124.209999,215826100
12/13/2011,124.860001,125.57,122.449997,123.050003,123.050003,245159800
12/14/2011,122.559998,123.029999,121.470001,121.739998,121.739998,238618800
12/15/2011,123.029999,123.199997,121.989998,122.18,122.18,199109200
12/16/2011,122.230003,122.949997,121.300003,121.589996,121.589996,220481400
12/19/2011,122.059998,122.32,120.029999,120.290001,120.290001,183903000
12/20/2011,122.18,124.139999,120.370003,123.93,123.93,225418100
12/21/2011,123.93,124.360001,122.75,124.169998,124.169998,194230900
12/22/2011,124.629997,125.400002,124.230003,125.269997,125.269997,119465400
12/23/2011,125.669998,126.43,125.410004,126.389999,126.389999,92187200
12/27/2011,126.169998,126.82,126.059998,126.489998,126.489998,86075700
12/28/2011,126.510002,126.529999,124.730003,124.830002,124.830002,119107100
12/29/2011,125.239998,126.25,124.860001,126.120003,126.120003,123507200
12/30/2011,126.019997,126.330002,125.5,125.5,125.5,95599000
01/03/2012,127.760002,128.380005,127.43,127.5,127.5,193697900
01/04/2012,127.199997,127.809998,126.709999,127.699997,127.699997,127186500
01/05/2012,127.010002,128.229996,126.43,128.039993,128.039993,173895000
01/06/2012,128.199997,128.220001,127.290001,127.709999,127.709999,148050000
01/09/2012,128,128.179993,127.410004,128.020004,128.020004,99530200
01/10/2012,129.389999,129.649994,128.949997,129.130005,129.130005,115282000
01/11/2012,128.729996,129.369995,128.520004,129.199997,129.199997,111540700
01/12/2012,129.570007,129.699997,128.539993,129.509995,129.509995,118983700
01/13/2012,128.639999,129.050003,127.720001,128.839996,128.839996,179836200
01/17/2012,130.080002,130.320007,128.899994,129.339996,129.339996,132209200
01/18/2012,129.309998,130.839996,129.080002,130.770004,130.770004,163395200
01/19/2012,131.220001,131.570007,130.800003,131.460007,131.460007,126328900
01/20/2012,131.240005,131.949997,130.919998,131.949997,131.949997,138230200
01/23/2012,131.509995,132.25,130.979996,131.610001,131.610001,129295800
01/24/2012,130.800003,131.5,130.600006,131.460007,131.460007,103083300
01/25/2012,131.259995,132.869995,130.75,132.559998,132.559998,198613200
01/26/2012,133.149994,133.399994,131.360001,131.880005,131.880005,184880500
01/27/2012,131.240005,132.050003,131.149994,131.820007,131.820007,135259100
01/30/2012,130.509995,131.440002,130.059998,131.369995,131.369995,147311800
01/31/2012,132.020004,132.179993,130.679993,131.320007,131.320007,157212000
02/01/2012,132.289993,133.139999,132.130005,132.470001,132.470001,166234500
02/02/2012,132.729996,133.020004,132.210007,132.679993,132.679993,113090400
02/03/2012,134,134.619995,133.770004,134.539993,134.539993,160598500
02/06/2012,133.979996,134.509995,133.830002,134.449997,134.449997,107694500
02/07/2012,134.169998,135.020004,133.639999,134.789993,134.789993,135528100
02/08/2012,134.860001,135.220001,134.309998,135.190002,135.190002,139361400
02/09/2012,135.410004,135.589996,134.559998,135.360001,135.360001,148602900
02/10/2012,134.160004,134.470001,133.839996,134.360001,134.360001,167907500
02/13/2012,135.320007,135.520004,134.740005,135.360001,135.360001,115841900
02/14/2012,135,135.270004,134.25,135.190002,135.190002,165329500
02/15/2012,135.630005,135.830002,134.289993,134.559998,134.559998,195195100
02/16/2012,134.570007,136.169998,134.330002,136.050003,136.050003,186567800
02/17/2012,136.520004,136.630005,135.960007,136.410004,136.410004,129869400
02/21/2012,136.729996,137.050003,136.050003,136.470001,136.470001,134042300
02/22/2012,136.259995,136.550003,135.789993,136.029999,136.029999,124455300
02/23/2012,135.960007,136.729996,135.5,136.630005,136.630005,137704300
02/24/2012,136.929993,137.199997,136.630005,136.929993,136.929993,105539100
02/27/2012,136.020004,137.529999,135.800003,137.160004,137.160004,145728900
02/28/2012,137.199997,137.720001,136.929993,137.559998,137.559998,129355900
02/29/2012,137.759995,138.190002,136.539993,137.020004,137.020004,185934700
03/01/2012,137.309998,137.990005,136.929993,137.729996,137.729996,145023500
03/02/2012,137.639999,137.820007,137,137.309998,137.309998,120638300
03/05/2012,137.100006,137.199997,136.279999,136.75,136.75,140765000
03/06/2012,135.350006,135.429993,134.360001,134.75,134.75,202129900
03/07/2012,135.059998,135.910004,134.929993,135.690002,135.690002,143692200
03/08/2012,136.520004,137.320007,136.240005,137.039993,137.039993,116968900
03/09/2012,137.300003,137.929993,137.130005,137.570007,137.570007,122836800
03/12/2012,137.550003,137.759995,137.089996,137.580002,137.580002,104003500
03/13/2012,138.320007,140.130005,138.089996,140.059998,140.059998,184090500
03/14/2012,140.100006,140.449997,139.479996,139.910004,139.910004,145163600
03/15/2012,140.119995,140.779999,139.759995,140.720001,140.720001,165118500
03/16/2012,140.360001,140.479996,140,140.300003,140.300003,152893500
03/19/2012,140.210007,141.279999,140.110001,140.850006,140.850006,125291100
03/20/2012,140.050003,140.610001,139.639999,140.440002,140.440002,121729700
03/21/2012,140.520004,140.649994,139.919998,140.210007,140.210007,122388400
03/22/2012,139.179993,139.550003,138.740005,139.199997,139.199997,135216700
03/23/2012,139.320007,139.809998,138.550003,139.649994,139.649994,120521000
03/26/2012,140.649994,141.610001,140.600006,141.610001,141.610001,120164000
03/27/2012,141.740005,141.830002,141.080002,141.169998,141.169998,119868500
03/28/2012,141.100006,141.320007,139.639999,140.470001,140.470001,148562100
03/29/2012,139.639999,140.490005,139.089996,140.229996,140.229996,164963700
03/30/2012,140.919998,141.050003,140.050003,140.809998,140.809998,135486800
04/02/2012,140.639999,142.210007,140.360001,141.839996,141.839996,151741100
04/03/2012,141.639999,141.880005,140.429993,141.259995,141.259995,155806700
04/04/2012,140.220001,140.339996,139.339996,139.860001,139.860001,146896000
04/05/2012,139.380005,140.199997,139.259995,139.789993,139.789993,137439400
04/09/2012,138.029999,139.839996,137.839996,138.220001,138.220001,127555900
04/10/2012,137.949997,138.339996,135.759995,135.899994,135.899994,235360300
04/11/2012,137.289993,137.539993,136.75,137,137,154133000
04/12/2012,137.130005,138.899994,137.029999,138.789993,138.789993,154321500
04/13/2012,138.470001,138.820007,137.009995,137.139999,137.139999,169246700
04/16/2012,137.839996,138.039993,136.580002,137.050003,137.050003,147825300
04/17/2012,137.839996,139.360001,137.699997,139.080002,139.080002,147877600
04/18/2012,138.460007,139.080002,138.380005,138.610001,138.610001,123884200
04/19/2012,138.630005,139.149994,137.070007,137.720001,137.720001,198666700
04/20/2012,138.330002,138.830002,137.869995,137.949997,137.949997,143199600
04/23/2012,136.539993,136.910004,135.940002,136.789993,136.789993,171844900
04/24/2012,136.910004,137.660004,136.800003,137.309998,137.309998,137484200
04/25/2012,138.649994,139.25,138.529999,139.190002,139.190002,150252200
04/26/2012,138.889999,140.320007,138.809998,140.160004,140.160004,136291600
04/27/2012,140.580002,140.789993,139.800003,140.389999,140.389999,130725000
04/30/2012,140.110001,140.210007,139.490005,139.869995,139.869995,115092200
05/01/2012,139.789993,141.660004,139.630005,140.740005,140.740005,138832200
05/02/2012,139.919998,140.460007,139.460007,140.320007,140.320007,121081000
05/03/2012,140.339996,140.449997,138.990005,139.25,139.25,143759700
05/04/2012,138.520004,139.300003,136.919998,137,137,193927300
05/07/2012,136.509995,137.559998,136.460007,137.100006,137.100006,127765900
05/08/2012,136.279999,136.770004,134.919998,136.550003,136.550003,213377700
05/09/2012,135.100006,136.610001,134.490005,135.740005,135.740005,220752500
05/10/2012,136.679993,136.850006,135.710007,136.020004,136.020004,150600000
05/11/2012,135.169998,136.869995,135.110001,135.610001,135.610001,153032400
05/14/2012,134.309998,135.610001,133.910004,134.110001,134.110001,163910000
05/15/2012,134.020004,134.809998,133.130005,133.339996,133.339996,207629300
05/16/2012,133.940002,134.550003,132.800003,132.830002,132.830002,207265500
